Player Passing 2024-2025 Big 5 European Leagues (per 90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
86,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20,2004,18,18.8,26.7,70.3,275.5,69.3,11.4,13.7,83,5.83,8.17,71.4,1.06,2.33,45.2,0.22,0.22,0.19,0,1.67,1.28,2,0.28,3.28,Matches
87,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23,2001,0.8,20,25,80,247.5,52.5,8.75,8.75,100,5,7.5,66.7,1.25,2.5,50,0,0,0,0,1.25,0,1.25,1.25,1.25,Matches
88,Alisson,br BRA,GK,Liverpool,eng Premier League,31,1992,27.9,28.5,34.4,82.8,629.2,407.2,8.21,8.32,98.7,15.3,15.5,98.4,4.91,10.4,47.4,0,0.02,0.01,-0.02,0.04,0.43,0,0,0.04,Matches
89,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25,1999,0,1,3,33.3,7,1,1,2,50,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
90,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29,1995,19.4,18.7,24.9,75.2,271.4,65.5,11.3,13.2,85.5,5.72,8.09,70.7,0.98,1.6,61.3,0.15,0.13,0.09,0.03,0.77,1.44,0.67,0.15,2.47,Matches
91,Dele Alli,eng ENG,MF,Como,it Serie A,28,1996,0.1,30,30,100,210,40,20,20,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
92,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23,2001,10.6,59.9,70.6,84.9,946.6,258,32.9,35.7,92.3,21.9,24.1,91,3.68,7.74,47.6,0.38,0.25,0.23,0.13,2.08,5.47,1.89,0.19,9.15,Matches
93,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24,2000,22,36.3,43,84.3,594,169.9,18.9,20.2,93.5,12.6,14.5,87.1,3.5,5.59,62.6,0.18,0.15,0.22,0.04,1.95,4.36,1.09,0.23,6.45,Matches
94,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20,2004,0.5,46,64,71.9,656,68,26,28,92.9,20,28,71.4,0,2,0,2,1.4,0.8,0.6,4,0,0,0,4,Matches
95,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30,1994,1.7,31.8,38.8,81.8,415.9,128.8,22.9,24.7,92.9,7.65,9.41,81.3,0.59,1.76,33.3,0,0.18,0.12,-0.18,1.76,1.76,0.59,0,3.53,Matches
96,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25,1999,12.4,17.3,24,72.4,222.4,40.6,12.1,14.8,81.5,3.71,5.24,70.8,0.56,0.97,58.3,0.08,0.1,0.07,-0.02,0.81,0.32,0.32,0.08,0.97,Matches
97,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,33,1990,29.4,72.8,81.5,89.2,1324.4,476.8,29,30.7,94.5,36.7,38.8,94.6,6.12,9.8,62.5,0,0.04,0.07,-0.04,0.71,7.69,0.71,0.2,7.31,Matches
98,Giorgio Altare,it ITA,DF,Venezia,it Serie A,25,1998,8.4,33.7,46.3,72.8,608.7,237.9,12.5,15.4,81.4,18.8,23.6,79.8,1.9,5.83,32.7,0,0.01,0.02,-0.01,0.12,1.79,0.24,0.12,2.38,Matches
99,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23,2001,18.1,26.7,34,78.5,427.1,118.7,14.1,16.1,87.3,10.3,13.1,78.5,1.88,3.37,55.7,0,0.03,0.04,-0.03,0.61,1.88,0.55,0.11,2.32,Matches
100,Sergi Altimira,es ESP,MF,Betis,es La Liga,22,2001,21.9,51.3,57.4,89.3,824.8,190.7,25.6,27.8,92.1,20.2,21.9,92.3,3.74,4.61,81.2,0.05,0.08,0.05,-0.03,1,4.16,0.59,0,4.52,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Olabade Aluko,,DF,Leicester City,eng Premier League,,,0,3,5,60,39,0,2,3,66.7,1,2,50,0,0,,0,0,0,0,0,0,0,0,0,Matches
102,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,26,1997,19.7,43.7,50.9,85.8,730.6,213.2,21.5,24.1,89.3,18.3,20.4,89.8,3.35,4.67,71.7,0.05,0.04,0.05,0.01,0.61,4.67,0.61,0.15,4.31,Matches
103,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21,2003,17.5,45.7,57.9,78.9,697.7,186,24.5,28.1,87.2,18.2,22,82.9,1.83,3.26,56.1,0.17,0.06,0.12,0.11,0.97,2,0.86,0.17,3.43,Matches
104,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,24,2000,27.9,25.7,34.6,74.2,381.8,95.1,14.5,17.4,83.1,7.67,9.57,80.1,1.9,4.09,46.5,0.14,0.19,0.19,-0.05,1.47,1.61,1.36,0.18,3.3,Matches
